Country,Time,Value ($US)
China,2024 through October,"6,857"
China,2023,"66,604"
China,2022,"13,984"
China,2021,"12,358"
China,2020,"74,373"
China,1992,
China,1993,
China,1994,
China,1995,
China,1996,
China,1997,
China,1998,
China,1999,
China,2000,
China,2001,
China,2002,"7,691"
China,2003,"40,498"
China,2004,"325,126"
China,2005,"122,243"
China,2006,"25,364"
China,2007,"215,704"
China,2008,"87,204"
China,2009,"130,111"
China,2010,"211,214"
China,2011,"35,256"
China,2012,"137,961"
China,2013,"106,380"
China,2014,"78,651"
China,2015,"47,192"
China,2016,"51,702"
China,2017,"61,133"
China,2018,"61,449"
China,2019,"47,478"
China,2024 through October,"6,857"
China,2023,"66,604"
China,2022,"13,984"
China,2021,"12,358"
China,2020,"74,373"
China,1992,
China,1993,
China,1994,
China,1995,
China,1996,
China,1997,
China,1998,
China,1999,
China,2000,
China,2001,
China,2002,"7,691"
China,2003,"40,498"
China,2004,"325,126"
China,2005,"122,243"
China,2006,"25,364"
China,2007,"215,704"
China,2008,"87,204"
China,2009,"130,111"
China,2010,"211,214"
China,2011,"35,256"
China,2012,"137,961"
China,2013,"106,380"
China,2014,"78,651"
China,2015,"47,192"
China,2016,"51,702"
China,2017,"61,133"
China,2018,"61,449"
China,2019,"47,478"
China,2024 through October,"6,857"
China,2023,"66,604"
China,2022,"13,984"
China,2021,"12,358"
China,2020,"74,373"
China,1992,
China,1993,
China,1994,
China,1995,
China,1996,
China,1997,
China,1998,
China,1999,
China,2000,
China,2001,
China,2002,"7,691"
China,2003,"40,498"
China,2004,"325,126"
China,2005,"122,243"
China,2006,"25,364"
China,2007,"215,704"
China,2008,"87,204"
China,2009,"130,111"
China,2010,"211,214"
China,2011,"35,256"
China,2012,"137,961"
China,2013,"106,380"
China,2014,"78,651"
China,2015,"47,192"
China,2016,"51,702"
China,2017,"61,133"
China,2018,"61,449"
China,2019,"47,478"
China,2024 through October,"6,857"
China,2023,"66,604"
China,2022,"13,984"
China,2021,"12,358"
China,2020,"74,373"
China,1992,
China,1993,
China,1994,
China,1995,
China,1996,
China,1997,
China,1998,
China,1999,
China,2000,
China,2001,
China,2002,"7,691"
China,2003,"40,498"
China,2004,"325,126"
China,2005,"122,243"
China,2006,"25,364"
China,2007,"215,704"
China,2008,"87,204"
China,2009,"130,111"
China,2010,"211,214"
China,2011,"35,256"
China,2012,"137,961"
China,2013,"106,380"
China,2014,"78,651"
China,2015,"47,192"
China,2016,"51,702"
China,2017,"61,133"
China,2018,"61,449"
China,2019,"47,478"
Mexico,2024 through October,"96,646"
Mexico,2023,"160,388"
Mexico,2022,"259,020"
Mexico,2021,"353,054"
Mexico,2020,"369,124"
Mexico,1992,
Mexico,1993,
Mexico,1994,
Mexico,1995,
Mexico,1996,
Mexico,1997,
Mexico,1998,
Mexico,1999,
Mexico,2000,
Mexico,2001,
Mexico,2002,"117,245"
Mexico,2003,"235,967"
Mexico,2004,"1,190,839"
Mexico,2005,"437,402"
Mexico,2006,"1,220,386"
Mexico,2007,"2,278,708"
Mexico,2008,"1,179,577"
Mexico,2009,"870,129"
Mexico,2010,"371,257"
Mexico,2011,"453,172"
Mexico,2012,"572,519"
Mexico,2013,"313,571"
Mexico,2014,"299,283"
Mexico,2015,"279,063"
Mexico,2016,"157,940"
Mexico,2017,"136,108"
Mexico,2018,"318,451"
Mexico,2019,"894,475"
Mexico,2024 through October,"96,646"
Mexico,2023,"160,388"
Mexico,2022,"259,020"
Mexico,2021,"353,054"
Mexico,2020,"369,124"
Mexico,1992,
Mexico,1993,
Mexico,1994,
Mexico,1995,
Mexico,1996,
Mexico,1997,
Mexico,1998,
Mexico,1999,
Mexico,2000,
Mexico,2001,
Mexico,2002,"117,245"
Mexico,2003,"235,967"
Mexico,2004,"1,190,839"
Mexico,2005,"437,402"
Mexico,2006,"1,220,386"
Mexico,2007,"2,278,708"
Mexico,2008,"1,179,577"
Mexico,2009,"870,129"
Mexico,2010,"371,257"
Mexico,2011,"453,172"
Mexico,2012,"572,519"
Mexico,2013,"313,571"
Mexico,2014,"299,283"
Mexico,2015,"279,063"
Mexico,2016,"157,940"
Mexico,2017,"136,108"
Mexico,2018,"318,451"
Mexico,2019,"894,475"
Mexico,2024 through October,"96,646"
Mexico,2023,"160,388"
Mexico,2022,"259,020"
Mexico,2021,"353,054"
Mexico,2020,"369,124"
Mexico,1992,
Mexico,1993,
Mexico,1994,
Mexico,1995,
Mexico,1996,
Mexico,1997,
Mexico,1998,
Mexico,1999,
Mexico,2000,
Mexico,2001,
Mexico,2002,"117,245"
Mexico,2003,"235,967"
Mexico,2004,"1,190,839"
Mexico,2005,"437,402"
Mexico,2006,"1,220,386"
Mexico,2007,"2,278,708"
Mexico,2008,"1,179,577"
Mexico,2009,"870,129"
Mexico,2010,"371,257"
Mexico,2011,"453,172"
Mexico,2012,"572,519"
Mexico,2013,"313,571"
Mexico,2014,"299,283"
Mexico,2015,"279,063"
Mexico,2016,"157,940"
Mexico,2017,"136,108"
Mexico,2018,"318,451"
Mexico,2019,"894,475"
Mexico,2024 through October,"96,646"
Mexico,2023,"160,388"
Mexico,2022,"259,020"
Mexico,2021,"353,054"
Mexico,2020,"369,124"
Mexico,1992,
Mexico,1993,
Mexico,1994,
Mexico,1995,
Mexico,1996,
Mexico,1997,
Mexico,1998,
Mexico,1999,
Mexico,2000,
Mexico,2001,
Mexico,2002,"117,245"
Mexico,2003,"235,967"
Mexico,2004,"1,190,839"
Mexico,2005,"437,402"
Mexico,2006,"1,220,386"
Mexico,2007,"2,278,708"
Mexico,2008,"1,179,577"
Mexico,2009,"870,129"
Mexico,2010,"371,257"
Mexico,2011,"453,172"
Mexico,2012,"572,519"
Mexico,2013,"313,571"
Mexico,2014,"299,283"
Mexico,2015,"279,063"
Mexico,2016,"157,940"
Mexico,2017,"136,108"
Mexico,2018,"318,451"
Mexico,2019,"894,475"
Mexico,2024 through October,"96,646"
Mexico,2023,"160,388"
Mexico,2022,"259,020"
Mexico,2021,"353,054"
Mexico,2020,"369,124"
Mexico,1992,
Mexico,1993,
Mexico,1994,
Mexico,1995,
Mexico,1996,
Mexico,1997,
Mexico,1998,
Mexico,1999,
Mexico,2000,
Mexico,2001,
Mexico,2002,"117,245"
Mexico,2003,"235,967"
Mexico,2004,"1,190,839"
Mexico,2005,"437,402"
Mexico,2006,"1,220,386"
Mexico,2007,"2,278,708"
Mexico,2008,"1,179,577"
Mexico,2009,"870,129"
Mexico,2010,"371,257"
Mexico,2011,"453,172"
Mexico,2012,"572,519"
Mexico,2013,"313,571"
Mexico,2014,"299,283"
Mexico,2015,"279,063"
Mexico,2016,"157,940"
Mexico,2017,"136,108"
Mexico,2018,"318,451"
Mexico,2019,"894,475"
Mexico,2024 through October,"96,646"
Mexico,2023,"160,388"
Mexico,2022,"259,020"
Mexico,2021,"353,054"
Mexico,2020,"369,124"
Mexico,1992,
Mexico,1993,
Mexico,1994,
Mexico,1995,
Mexico,1996,
Mexico,1997,
Mexico,1998,
Mexico,1999,
Mexico,2000,
Mexico,2001,
Mexico,2002,"117,245"
Mexico,2003,"235,967"
Mexico,2004,"1,190,839"
Mexico,2005,"437,402"
Mexico,2006,"1,220,386"
Mexico,2007,"2,278,708"
Mexico,2008,"1,179,577"
Mexico,2009,"870,129"
Mexico,2010,"371,257"
Mexico,2011,"453,172"
Mexico,2012,"572,519"
Mexico,2013,"313,571"
Mexico,2014,"299,283"
Mexico,2015,"279,063"
Mexico,2016,"157,940"
Mexico,2017,"136,108"
Mexico,2018,"318,451"
Mexico,2019,"894,475"
Mexico,2024 through October,"96,646"
Mexico,2023,"160,388"
Mexico,2022,"259,020"
Mexico,2021,"353,054"
Mexico,2020,"369,124"
Mexico,1992,
Mexico,1993,
Mexico,1994,
Mexico,1995,
Mexico,1996,
Mexico,1997,
Mexico,1998,
Mexico,1999,
Mexico,2000,
Mexico,2001,
Mexico,2002,"117,245"
Mexico,2003,"235,967"
Mexico,2004,"1,190,839"
Mexico,2005,"437,402"
Mexico,2006,"1,220,386"
Mexico,2007,"2,278,708"
Mexico,2008,"1,179,577"
Mexico,2009,"870,129"
Mexico,2010,"371,257"
Mexico,2011,"453,172"
Mexico,2012,"572,519"
Mexico,2013,"313,571"
Mexico,2014,"299,283"
Mexico,2015,"279,063"
Mexico,2016,"157,940"
Mexico,2017,"136,108"
Mexico,2018,"318,451"
Mexico,2019,"894,475"
OECD - Organization for Economic Co-operation and,2024 through October,"957,975"
OECD - Organization for Economic Co-operation and,2023,"1,507,582"
OECD - Organization for Economic Co-operation and,2022,"1,976,985"
OECD - Organization for Economic Co-operation and,2021,"1,519,896"
OECD - Organization for Economic Co-operation and,2020,"1,586,950"
OECD - Organization for Economic Co-operation and,1992,
OECD - Organization for Economic Co-operation and,1993,
OECD - Organization for Economic Co-operation and,1994,
OECD - Organization for Economic Co-operation and,1995,
OECD - Organization for Economic Co-operation and,1996,
OECD - Organization for Economic Co-operation and,1997,
OECD - Organization for Economic Co-operation and,1998,
OECD - Organization for Economic Co-operation and,1999,
OECD - Organization for Economic Co-operation and,2000,
OECD - Organization for Economic Co-operation and,2001,
OECD - Organization for Economic Co-operation and,2002,"2,556,438"
OECD - Organization for Economic Co-operation and,2003,"2,802,786"
OECD - Organization for Economic Co-operation and,2004,"3,504,955"
OECD - Organization for Economic Co-operation and,2005,"3,257,878"
OECD - Organization for Economic Co-operation and,2006,"4,247,756"
OECD - Organization for Economic Co-operation and,2007,"6,075,213"
OECD - Organization for Economic Co-operation and,2008,"7,265,393"
OECD - Organization for Economic Co-operation and,2009,"3,402,823"
OECD - Organization for Economic Co-operation and,2010,"4,609,911"
OECD - Organization for Economic Co-operation and,2011,"4,208,895"
OECD - Organization for Economic Co-operation and,2012,"3,682,933"
OECD - Organization for Economic Co-operation and,2013,"2,744,629"
OECD - Organization for Economic Co-operation and,2014,"3,296,296"
OECD - Organization for Economic Co-operation and,2015,"2,987,569"
OECD - Organization for Economic Co-operation and,2016,"2,211,340"
OECD - Organization for Economic Co-operation and,2017,"1,629,150"
OECD - Organization for Economic Co-operation and,2018,"1,647,606"
OECD - Organization for Economic Co-operation and,2019,"2,236,463"
USMCA - U.S.-Mexico-Canada Agreement,2024 through October,"450,206"
USMCA - U.S.-Mexico-Canada Agreement,2023,"764,752"
USMCA - U.S.-Mexico-Canada Agreement,2022,"901,473"
USMCA - U.S.-Mexico-Canada Agreement,2021,"771,335"
USMCA - U.S.-Mexico-Canada Agreement,2020,"710,108"
USMCA - U.S.-Mexico-Canada Agreement,1992,
USMCA - U.S.-Mexico-Canada Agreement,1993,
USMCA - U.S.-Mexico-Canada Agreement,1994,
USMCA - U.S.-Mexico-Canada Agreement,1995,
USMCA - U.S.-Mexico-Canada Agreement,1996,
USMCA - U.S.-Mexico-Canada Agreement,1997,
USMCA - U.S.-Mexico-Canada Agreement,1998,
USMCA - U.S.-Mexico-Canada Agreement,1999,
USMCA - U.S.-Mexico-Canada Agreement,2000,
USMCA - U.S.-Mexico-Canada Agreement,2001,
USMCA - U.S.-Mexico-Canada Agreement,2002,"1,812,284"
USMCA - U.S.-Mexico-Canada Agreement,2003,"1,768,154"
USMCA - U.S.-Mexico-Canada Agreement,2004,"2,883,555"
USMCA - U.S.-Mexico-Canada Agreement,2005,"2,390,635"
USMCA - U.S.-Mexico-Canada Agreement,2006,"3,567,787"
USMCA - U.S.-Mexico-Canada Agreement,2007,"4,912,341"
USMCA - U.S.-Mexico-Canada Agreement,2008,"3,346,306"
USMCA - U.S.-Mexico-Canada Agreement,2009,"2,380,762"
USMCA - U.S.-Mexico-Canada Agreement,2010,"2,259,486"
USMCA - U.S.-Mexico-Canada Agreement,2011,"2,258,829"
USMCA - U.S.-Mexico-Canada Agreement,2012,"2,008,914"
USMCA - U.S.-Mexico-Canada Agreement,2013,"1,800,837"
USMCA - U.S.-Mexico-Canada Agreement,2014,"1,809,629"
USMCA - U.S.-Mexico-Canada Agreement,2015,"1,578,284"
USMCA - U.S.-Mexico-Canada Agreement,2016,"1,185,824"
USMCA - U.S.-Mexico-Canada Agreement,2017,"1,009,312"
USMCA - U.S.-Mexico-Canada Agreement,2018,"1,176,770"
USMCA - U.S.-Mexico-Canada Agreement,2019,"1,565,699"
