Country,Month,Export,Import
Czech Republic,July,613952.57,11790455.52
Denmark,July,38642.06,1622937.46
Ecvador,July,0,1889214.4
Egypt,July,0,1582599.28
El Salvador,July,2388.5,0
Estonia,July,219743.97,1190628.12
Ethiopia,July,68250,67000
Finland,July,17365.88,1812207.76
France,July,1861848.48,12092076.9
Gana,July,1776,0
Georgia,July,3337101.7,425603.54
Germany,July,3814978.82,30529142.53
Great Britain,July,497021.23,0
Greece,July,47706.4,6178631.04
Hong Kong,July,32060.4,5856678.15
Hungary,July,118117.38,4560452.99
Iceland,July,0,307699.1
India,July,17693.02,7235488.95
Indonesia,July,1800,1506179.99
Iran,July,1216005.65,19380544.41
Iraq,July,2666757.54,336930.2
Ireland,July,187068.25,808554.08
Israel,July,1315896.25,531317.46
Italy,July,2163142.39,22172160.12
Japan,July,776371.36,1045698.42
Jordan,July,206520.38,84778.77
Kazakhstan,July,5890554.95,1464327.15
Kenya,July,50830,9886.58
Kuwait,July,100393.1,0
Kyrgyzstan,July,3338652.52,647621.1
Latvia,July,1022211.15,3205017.02
Lebanon,July,85557.32,1248.29
Libia,July,175730,0
Liechtenstein,July,0,25259.73
Lithuania,July,1581648.94,2650573.5
Luxembourg,July,157.71,49262.16
Macedonia,July,0,146329.2
Mala,July,387858.15,2016559.49
Malawi,July,0,103705.15
Malaysia,July,38115.2,1105399.02
Mexico,July,215200,147746.15
Moldova,July,589948.98,473137.63
Mongolia,July,84855.12,0
Morocco,July,0,57987.93
Netherlands,July,1871033.35,12736713.11
New Zealand,July,1095,126282.27
Nigeria,July,332.89,2666.91
Norway,July,31030.37,1193409.01
Not specified,July,320794.72,0
Oman,July,0,429267.95
Pacistan,July,28074,229394.2
Paraguay,July,839,528497.53
Peru,July,16541800,225465.96
Philippines,July,730385.34,0
Poland,July,2767896.06,17787315.15
Portugal,July,76089.05,1052909.88
Qatar,July,56676.78,436708.97
Romania,July,55566.78,34713004.11
San Marino,July,0,71807.63
Saudi Arabia,July,2652817.61,965137.5
Senegal,July,2300,0
Serbia,July,8193.41,1330472.86
Singapore,July,113149.36,3483890.03
Slovakia,July,48777.36,1269270.13
Slovenia,July,45244.41,2247525.96
Somalia,July,20132.7,0
South Africa,July,0,415883.63
South Korea,July,178959.28,6766176.12
Spain,July,19089451.57,15723989.33
Sri Lanka,July,150,193915.52
Sweden,July,182466.54,1349719.27
Switzerland,July,8412638.9,15066334.05
Syria,July,0,158613.6
Taiwan,July,91276.41,1420032.39
Tajikista,July,285467.13,0
Tanzania,July,0,29289.16
Thailand,July,5334.84,1655110.85
The Farer Islands,July,0,38512.5
Tunis,July,0,12801.94
Turkmenistan,July,99085.14,16351650.81
Türkiye,July,30055515.39,164090654
UA Emirates,July,936969.41,18494367.44
Ukraine,July,7646315.04,16482175.03
United Kingdom,July,0,7567456.12
United States,July,41818355.08,4547198.48
Uruguay,July,0,49875.1
Uzbekistan,July,3419260.12,4104455.15
Vietnam,July,75258.5,3393528.73
"Virgin Islands, Britain",July,0,290400
russia,July,76868162.45,167762556.3
unknown,July,0,326951.2
Albania,August,0,139003.85
Argentina,August,0,492524.4
Armenia,August,16438859.95,7123706.87
Australia,August,152024.8,83015.1
Austria,August,243619.9,7092723.49
Azerbaijan,August,16058357.23,34653882.77
Bahrain,August,1122.72,47819.17
Bangladesh,August,1500,113805.71
Belarus,August,5289060.48,5161645.19
Belgium,August,507521.4,5293063.05
Brasil,August,0,7878274.16
Bulgaria,August,51593809.66,15079253.74
Canada,August,243531.12,1014464.06
Chile,August,0,536567.57
China,August,26232962.44,98587129.71
Colombia,August,0,5616.07
Costa Rica,August,0,67721.28
Croatia,August,9323.42,1043194.36
Cyprus,August,174998.53,155009.51
Czech Republic,August,923348.31,13264769.11
Denmark,August,3261.09,1351613.94
Ecvador,August,0,2260609.84
Egypt,August,18042.98,2228915.96
Estonia,August,366849.73,884735.13
Finland,August,78892.7,2518297.94
France,August,1705432.85,18699418.78
Gana,August,1381290,0
Georgia,August,1498834.18,562018.05
Germany,August,3250059.78,31816438.41
Great Britain,August,955594.5,8238643.84
Greece,August,374326.88,6750880.24
Hong Kong,August,446411.56,13723543.12
Hungary,August,67847.5,4771945.54
Iceland,August,0,140664
India,August,176958.54,7427885.62
Indonesia,August,0,696789.23
Iran,August,1257597.47,19851477.89
Iraq,August,5148540.69,1195292.63
Ireland,August,0,1198281.74
Israel,August,930573.81,827552.12
Italy,August,3186932.66,22347879.96
Japan,August,841875.49,2257227.91
Jordan,August,36680.72,51766
Kazakhstan,August,10421032.05,2857954.38
Kenya,August,88400,14791.33
Kuwait,August,113058.44,0
Kyrgyzstan,August,653143.26,36506.37
Latvia,August,1121175.35,3434131.68
Lebanon,August,6641.6,54123.6
Libia,August,322020.45,0
Liechtenstein,August,0,9233.95
Lithuania,August,601157.06,4622587.23
Luxembourg,August,20260.21,42360.46
Mala,August,0,967030.6
Malaysia,August,25110,670517.79
Mauritania,August,458000,0
Mexico,August,0,120387.22
Moldova,August,1293148.45,810488.69
Mongolia,August,244211,0
Netherlands,August,858921.65,11903731.76
New Zealand,August,21762.13,448707.79
Niger,August,2545.99,333.75
Nigeria,August,500,697.21
Norway,August,351219.73,697727.51
Not specified,August,316598.3,185588.46
Oman,August,0,108.76
Pacistan,August,0,155139.44
Panama,August,2977520,0
Paraguay,August,0,1294950.42
Peru,August,0,6650
Poland,August,3239496.86,14707434.48
Portugal,August,285948.46,1483387.2
Qatar,August,138773.15,670796.43
Romania,August,2150822.34,30969357.1
Saudi Arabia,August,1765739.12,294904.77
Senegal,August,687000,0
Serbia,August,116972.57,799691.82
Singapore,August,8710.44,1524150.93
Slovakia,August,0,1222789.33
Slovenia,August,170147.15,2399617.2
South Africa,August,17072,400815.87
South Korea,August,388773.15,4598264.17
Spain,August,1429229.02,14409380.5
Sri Lanka,August,0,85771.27
Sweden,August,169655.81,686050.68
Switzerland,August,8256359.55,11682918.89
Taiwan,August,102861.27,1167758.36
Tajikista,August,400257.38,0
Tanzania,August,70000,0
Thailand,August,1836,1467029.55
Tunis,August,465209.34,51250
Turkmenistan,August,235616.12,12087664
Türkiye,August,38238956.82,213865581.2
UA Emirates,August,1110592.91,17728540.87
Ukraine,August,5340321.88,17198460.58
United States,August,3094990.71,6741660.22
Uruguay,August,0,1200403.99
Uzbekistan,August,4751518.8,5324716.51
Vietnam,August,0,3479050.06
Zambia,August,6519.5,0
russia,August,55844921.89,199421726.2
Afghanistan,September,29383.93,0
Albania,September,52375.23,12873.98
Algeria,September,1000,0
Argentina,September,245009.68,76272.2
Armenia,September,17892611.51,6747103.2
Australia,September,85323.67,123773.46
Austria,September,225244.51,4567376.3
Azerbaijan,September,22494760.29,36080169.01
Bahrain,September,279,241.86
Bangladesh,September,0,207960.15
Belarus,September,2264427.21,5992172.57
Belgium,September,203528.91,6015725.34
Bosnia-Herzegovina,September,0,68319.17
Brasil,September,5141,11439109.03
Bulgaria,September,9092365.51,17858508.28
Canada,September,118676.64,456171.29
Chile,September,0,212369.13
China,September,69803177.97,98568244.14
Colombia,September,0,31974.8
Costa Rica,September,22960.74,0
Croatia,September,24961.12,1003832.36
Cyprus,September,169990.94,183606.36
Czech Republic,September,705776.97,11864698.18
Denmark,September,55979.82,2294764.44
Ecvador,September,0,1736020.08
Egypt,September,1464.52,2127373.92
Estonia,September,431100.84,785268.68
Ethiopia,September,0,950
Finland,September,173891.47,1167349.38
France,September,2464247.1,16393493.34
Gabon,September,0,19850.42
Gana,September,1196.2,0
Georgia,September,3254050.43,361634.14
Germany,September,5646324.57,31589246.53
Great Britain,September,654197.4,5435697.99
Greece,September,71265.39,2389844.2
Hong Kong,September,85772.02,11599467.92
Hungary,September,104428.07,3584279.07
India,September,369260.13,6062968.61
Indonesia,September,1192,1438891.25
Iran,September,1566881.91,18202775.82
Iraq,September,5584267.37,5715401
Ireland,September,22000,1576766.25
Israel,September,2015670.01,1939246.89
Italy,September,4794997.44,19412518.74
Japan,September,1285607.59,2051479.61
Jordan,September,59575.25,25475.33
Kazakhstan,September,6043546.53,3390440.4
Kenya,September,0,32195.66
Kuwait,September,102831.51,3232.18
Kyrgyzstan,September,887465.56,327574.61
Latvia,September,1279625.52,2820866.42
Lebanon,September,31293.75,135127.52
Libia,September,394224.79,0
Liechtenstein,September,0,31155.31
Lithuania,September,2322726.1,2740929.74
Luxembourg,September,0,373520.54
Macedonia,September,0,304931.88
Mala,September,0,893955.18
Malawi,September,0,102530
Malaysia,September,113464.77,1091027.82
Mexico,September,372900,91826.48
Moldova,September,840125.99,595732.44
Mongolia,September,293163.16,0
Montenegro,September,896.05,0
Morocco,September,0,6868.31
Nepal,September,0,3963.8
Netherlands,September,865390.01,14255864.16
New Zealand,September,0,302377.84
Niger,September,3143.06,0
Nigeria,September,495.01,30186.02
Norway,September,27333.99,1704873.7
Not specified,September,1607.95,148244.05
Oman,September,0,71550
Pacistan,September,36823.8,246046.03
Paraguay,September,0,870345.66
Peru,September,14685050,26350
Philippines,September,96067.68,47928.7
Poland,September,4252426.9,15898743.84
Portugal,September,87062.41,1381136.68
Qatar,September,75584.1,161032.5
Romania,September,51348.02,21353923.71
San Marino,September,0,41151.89
Saudi Arabia,September,78764.59,277125
Serbia,September,52615,1693115.65
Singapore,September,513344.59,2046410.59
Slovakia,September,302923.3,1264202.99
Slovenia,September,86511.5,1997536.63
South Africa,September,289774.61,235631.92
South Korea,September,123983.5,4070720.49
Spain,September,1372567.47,14794880.88
Sri Lanka,September,9885.86,128585.29
Sudan,September,270000,0
Sweden,September,88430.89,1895258.9
Switzerland,September,6143293.49,6625001.03
Taiwan,September,283934.39,1481127.21
Tajikista,September,354956.51,90484.56
Tanzania,September,0,52540
Thailand,September,0,1329131.38
Togo,September,0,173.93
Tunis,September,413077.7,46000
Turkmenistan,September,610154.13,8342011.39
Türkiye,September,22180562.86,189880657.4
UA Emirates,September,16530601.86,21014128.57
Ukraine,September,6762128.55,21945293.47
United States,September,52808903.11,7038865.93
Uruguay,September,0,1487472.65
Uzbekistan,September,4953366.82,5088656.25
Vietnam,September,0,2237506.25
russia,September,50718769.9,180823909.8
Afghanistan,October,3320.29,0
Albania,October,18272.79,0
Andorra,October,0,8315.81
Argentina,October,0,39080.69
Armenia,October,16400520.65,7237411.01
Australia,October,102691.52,461276.73
Austria,October,306507.08,4848702.16
Azerbaijan,October,15198381.73,42698492.38
Bahrain,October,1967.03,0
Bangladesh,October,0,146893.43
Belarus,October,3776539.86,7107153.6
Belgium,October,259627.99,5524261.12
Bosnia-Herzegovina,October,0,10016.5
Brasil,October,77700,8220614.62
Bulgaria,October,49431041.12,17784884.96
Burkinafaso,October,0,4605
Cambodia,October,0,170738.51
Canada,October,246318.27,768544.54
Chile,October,0,195506.88
China,October,30052432.08,85988857.1
Colombia,October,52578,0
Congo,October,249200,0
Croatia,October,19012.61,1193675.31
Cyprus,October,14698.82,2367727.71
Czech Republic,October,1344670.91,16595105.92
Denmark,October,26309.33,2154343.06
Ecvador,October,0,1975322.94
Egypt,October,48478.68,1713837.27
Estonia,October,240488.2,867265.23
Finland,October,44502.51,1727735.58
France,October,3710058.46,18908283.67
Gabon,October,0,43658.61
Gana,October,4028552,923.98
Georgia,October,1839713.33,455784.8
Germany,October,6414490.56,35440266.14
Great Britain,October,657436.18,7707992.87
Greece,October,322717.98,11082759.8
Hong Kong,October,89102.24,6127913.74
Hungary,October,73518.61,3864202
Iceland,October,0,576403.6
India,October,26051.25,5150629.01
Indonesia,October,0,1227685.85
Iran,October,1022484.57,16423531.06
Iraq,October,4133498.62,3426976.39
Ireland,October,47108.75,14218633.51
Israel,October,1356681.26,563485.77
Italy,October,7772094.45,20021214.9
Japan,October,722167.52,693319.8
Jordan,October,690704.25,4315.45
Kazakhstan,October,5624478.23,5169220.18
Kenya,October,463204,24112.54
Kuwait,October,100669.06,0
Kyrgyzstan,October,972291.36,440018.57
Latvia,October,910381.68,4306324.13
Lebanon,October,600,45146.88
Libia,October,202170,0
Liechtenstein,October,0,42646.11
Lithuania,October,3148434.27,4520261.2
Luxembourg,October,0,163206.9
Macedonia,October,54412.23,157927.8
Mala,October,14946.22,438758.11
Malawi,October,0,104391.06
Malaysia,October,98073.3,632065.7
Mauritania,October,767200,0
Mexico,October,138750,169372.63
Moldova,October,330533.11,787440.19
Montenegro,October,102225,0
Morocco,October,135503.6,0
Mozambique,October,3588276,0
Nepal,October,0,615.48
Netherlands,October,807947.15,14291114.33
New Zealand,October,0,392668.58
Niger,October,180,9708.93
Nigeria,October,12717,2389.4
Norway,October,132698.47,2136114.84
Not specified,October,170598.85,57322.8
Oman,October,0,5968.43
Pacistan,October,0,361527.89
Panama,October,3562520,0
Paraguay,October,0,409753.71
Philippines,October,857843.55,5995.31
Poland,October,3084008.59,12917094.93
Portugal,October,124177.55,1393448.59
Qatar,October,250646.5,409449.3
Romania,October,26381.31,17779927.79
San Marino,October,0,14068.32
Saudi Arabia,October,507840.13,727264.45
Senegal,October,411000,0
Serbia,October,22605.7,1181180.19
Singapore,October,766314.97,1526432.41
Slovakia,October,188752.99,1530733.31
Slovenia,October,21500,1628860.58
South Africa,October,0,122037.67
South Korea,October,4901,3741461.74
Spain,October,18887577.04,13785689.33
Sri Lanka,October,0,12146.91
Sweden,October,104271.85,1716329.56
Switzerland,October,8263911.01,7310250.8
Taiwan,October,0,1152932.96
Tajikista,October,348382.91,0
Tanzania,October,1988280,22200
Thailand,October,111,1129017.57
The Farer Islands,October,0,29160
The Northern Mariana Islands,October,18183.84,0
Tunis,October,0,1000
Turkmenistan,October,990686.38,4500380.41
Türkiye,October,32105193.26,209852199.2
UA Emirates,October,621636.72,27660110.21
Ukraine,October,6494246.37,20697722.94
United States,October,14686301.53,6295660.41
Uruguay,October,0,195343.19
Uzbekistan,October,6235650.25,3510500.02
Vietnam,October,76923.2,2954243.64
russia,October,45652205.51,172944975.8
Albania,November,0,13032.6
Argentina,November,0,326889.76
Armenia,November,18678784.93,6170444.2
Australia,November,53411.2,36093.22
Austria,November,196547.75,5948948.41
Azerbaijan,November,13289103.54,37955394.4
Bahrain,November,13314.56,0
Bangladesh,November,0,223854.65
Belarus,November,4605586.31,5401411.17
Belgium,November,384007.77,6228620.15
Bhutan,November,0,11676.96
Bosnia-Herzegovina,November,0,58621.26
Brasil,November,0,8617790.22
Bulgaria,November,48631281.72,8790410.88
Burkinafaso,November,31970.22,17750.01
Cambodia,November,6650,79350.27
Canada,November,194076.33,768245.81
Chile,November,0,158930.2
China,November,50633672.37,92374019.56
Colombia,November,0,62996.4
Costa Rica,November,0,30549.77
Croatia,November,37947.95,843733.87
Cyprus,November,43137.61,625209.24
Czech Republic,November,4366194.18,15124052.61
Denmark,November,261142.55,2450716.47
Ecvador,November,0,1997481.26
Egypt,November,0,1756971
Estonia,November,407484.17,1337494.13
Ethiopia,November,511875,50
Finland,November,106117.59,2250478.85
France,November,3325713.25,12768298.92
Gabon,November,0,43566.05
Gambia,November,870,0
Gana,November,7068360,0
Georgia,November,689720.22,371938.04
Germany,November,8337098.55,38591699.34
Great Britain,November,498475.88,7978167.26
Greece,November,76115.72,9705016.95
Hong Kong,November,790882.53,6788909.11
Hungary,November,152870.16,5919174.35
Iceland,November,0,120866
India,November,221239.24,11584314.4
Indonesia,November,3408.64,1573436.98
Iran,November,1550779.37,20570303.38
Iraq,November,1914906.25,1900096.53
Ireland,November,44000,1661064.06
Israel,November,1839762.09,1031102.53
Italy,November,7027639.38,28501170.5
Japan,November,821812.49,764316.69
Jordan,November,77152.05,5449.57
Kazakhstan,November,6547007.82,3147354.11
Kenya,November,38726,19380.69
Kuwait,November,96284.97,529.86
Kyrgyzstan,November,1241039.59,383425.84
Latvia,November,711928.62,4671116.45
Lebanon,November,0,58769.83
Libia,November,70700,0
Liechtenstein,November,0,73244.04
Lithuania,November,1701252.48,4111601.94
Luxembourg,November,0,79538.58
Macedonia,November,3767.09,96483.17
Mala,November,0,505525.98
Malawi,November,665,95595.58
Malaysia,November,0,873179.67
Marshall Islands,November,0,105219
Mauritania,November,2646520,0
Mexico,November,116600,102468.19
Moldova,November,326994.61,1235420.03
Mongolia,November,230672.7,0
Montenegro,November,0,8568
Morocco,November,22125,55456.97
Nepal,November,0,2988.39
Netherlands,November,597720.03,23470476.77
New Zealand,November,0,82270.45
Niger,November,69867.28,800
Nigeria,November,0,2765.81
Norway,November,10558.66,2177763.03
Not specified,November,239188.32,255627.17
Oman,November,0,166405.36
Pacistan,November,0,468170.4
Panama,November,0,3694
Paraguay,November,2510,628806.97
Peru,November,17751880,0
Poland,November,3976284.23,19641252.68
Portugal,November,106219.07,1783131.7
Qatar,November,120468.6,304122.6
Romania,November,149330.01,13638411.02
San Marino,November,0,11047.51
Saudi Arabia,November,1201714.39,132241.59
Serbia,November,144412.46,748976.49
Seychelles,November,0,6120
Singapore,November,2146.72,1314721.79
Slovakia,November,315574.65,1531871.34
Slovenia,November,91852.72,2659311.85
South Africa,November,331815.45,13056.66
South Korea,November,353914.05,2984719.55
Spain,November,239420.73,14053708.53
Sri Lanka,November,0,437432.8
Sudan,November,40000,0
Sweden,November,129241.98,2220593.95
Switzerland,November,7338410.75,11942336.87
Taiwan,November,0,1114510.28
Tajikista,November,807319.47,0
Tanzania,November,70000,38480
Thailand,November,200,1348663.67
The Farer Islands,November,0,61560
Tunis,November,0,11756.5
Turkmenistan,November,875667.56,6056330
Türkiye,November,22784212.01,196276946.4
UA Emirates,November,893614.83,28680165.51
Uganda,November,1844.5,0
Ukraine,November,7205286.87,17136087.75
United States,November,2727389.31,20872020.05
Uruguay,November,0,402068.07
Uzbekistan,November,2810047.5,3953892.59
Venezuela,November,0,9476.74
Vietnam,November,96270.7,4100147.05
"Virgin Islands, Britain",November,0,1468.75
russia,November,55419259.88,183889952.6
Afghanistan,December,32993.73,0
Argentina,December,262754.8,321504.91
Armenia,December,22345792.34,9521104.55
Australia,December,219555.17,37819
Austria,December,281287.16,8093115.19
Azerbaijan,December,18790008.92,50630327.17
Bahrain,December,27195.48,72667.08
Bangladesh,December,0,537235.75
Belarus,December,3526969.69,7911075.11
Belgium,December,378556.07,6418062.18
Bosnia-Herzegovina,December,1053.4,22688.13
Brasil,December,149617.29,9422371.01
Bulgaria,December,28022712.21,10197396.28
Cambodia,December,0,94283.16
Canada,December,247479.99,592596.41
Chile,December,612654.4,297222.42
China,December,75138385.21,100934604.2
Congo,December,0,1200
Costa Rica,December,292060,74871.31
Croatia,December,30212.07,1316585.32
Cyprus,December,57520.71,2883515.48
Czech Republic,December,1154729.25,20760661.25
Denmark,December,305932.6,2087812.97
Djibouti,December,1596,0
Dominican Republic,December,0,12164.24
Ecvador,December,0,3278298.19
Egypt,December,0,1412310.69
Estonia,December,506156.53,1308275.86
Ethiopia,December,273000,5575.88
Finland,December,91259.73,4286414.17
France,December,3944271.65,18304526.66
Gabon,December,0,6510624.12
Gana,December,2083,0
Georgia,December,3462288.7,669048.16
Germany,December,5977161.06,41429176.02
Great Britain,December,282484.69,8269268.16
Greece,December,187954.69,8639964.81
Hong Kong,December,665775.72,9873718.96
Hungary,December,194960.43,6523882.28
Iceland,December,0,27930
India,December,9344488.68,5664113.66
Indonesia,December,0,3446049.31
Iran,December,1721544.45,23446466.19
Iraq,December,3631854.01,1990019.07
Ireland,December,1700.8,443518.65
Israel,December,2056739.46,1036780.94
Italy,December,6825060.26,31605357.45
Japan,December,1502988.24,1988112.68
Jordan,December,429184.27,24057.65
Kazakhstan,December,4212443.41,3645089.5
Kenya,December,0,31028.75
Kuwait,December,59017.97,0
Kyrgyzstan,December,1380461.39,629694.27
Latvia,December,439666.01,6628619.6
Lebanon,December,26193.41,6260
Libia,December,809019.4,38244.17
Liechtenstein,December,0,36319.91
Lithuania,December,946392.18,4576721.67
Luxembourg,December,0,156941.87
Macedonia,December,0,138956.95
Mala,December,0,982221.27
Malawi,December,0,47784.39
Malaysia,December,293602.84,936819.66
Mexico,December,0,110649.54
Moldova,December,478695.79,1137161.4
Monaco,December,0,438.65
Mongolia,December,387227.5,0
Morocco,December,176000,8820.39
Nepal,December,0,600
Netherlands,December,722878.06,17773706.6
New Zealand,December,0,731962.45
Niger,December,290,0
Nigeria,December,0,1603.8
Norway,December,57138.55,1871365.83
Not specified,December,0,80341.63
Oman,December,0,135000
Pacistan,December,0,335070.6
Panama,December,3789500,5251.01
Paraguay,December,0,660810.05
Peru,December,18112500,0
Poland,December,3182087.09,18089301.8
Portugal,December,231311.97,2073056.37
Qatar,December,74070.77,670165.09
Romania,December,61359.34,23384044.02
San Marino,December,0,39032.51
Saudi Arabia,December,735094.13,693854.86
Serbia,December,533712.58,1243110.12
Seychelles,December,0,80525.5
Singapore,December,417859.2,2479626.78
Slovakia,December,82301.13,1791199.68
Slovenia,December,25254.82,1743694.86
Somalia,December,7360,0
South Africa,December,127899.2,7520.09
South Korea,December,423803.8,2303293.45
Spain,December,1465157.76,15815269.28
Sri Lanka,December,120,193096.06
Sweden,December,213174.62,6977412.47
Switzerland,December,6101916,10197394.62
Syria,December,0,88604
Taiwan,December,0,1585171.03
Tajikista,December,457116.1,17638.8
Tanzania,December,154000,14060
Thailand,December,3491.96,334927.53
Tunis,December,304477.45,0
Turkmenistan,December,771539.3,8677401.74
Türkiye,December,22831304.11,201116812.3
UA Emirates,December,1000152.5,51031203.88
Uganda,December,6370,0
Ukraine,December,9122984.62,25119818.34
United States,December,2452654.81,8645236.98
Uruguay,December,0,1209703.84
Uzbekistan,December,4298156.5,5113092
Vietnam,December,0,1032325.75
"Virgin Islands, Britain",December,0,15782.44
russia,December,38567911.69,194846337.4
